id,description,status_code
1588345297,"With Schwarzkopf is Gus Lee's remembrance of his mentor and friend H. Norman Schwarzkopf, and his firsthand account of how Schwarzkopf shaped his life. In 1966, Lee, a junior-year cadet at West Point, was bright, athletic, and popular. He was also on the verge of getting kicked out. Nearing the bottom of his class due to his penchant for playing poker and reading recreationally instead of studying engineering, he was assigned a new professor: then-Major Norman Schwarzkopf. Schwarzkopf's deeply principled nature and fierce personality took hold of the wayward cadet, and the two began meeting regularly and discussing what it meant to be a scholar, a soldier, and a man.  Lee's vibrant, witty narrative brings his more than forty-year relationship with Schwarzkopf to life. Readers get an inside look at West Point culture; they see Schwarzkopf's bristling anger with his rebellious pupil as well as his tenacity, intellect, and moments of surprising emotional warmth; and they watch as Lee starts to absorb his teachings. As he left West Point and took on more professional and personal roles, Lee approached every crisis or difficult decision by channeling his mentor. Over the years, Schwarzkopf's instilled values, wise counsel, and warm conversations shaped Lee and brought the two together in an unlikely friendship. In With Schwarzkopf, Lee passes along the lessons he learned so future generations can hear Schwarzkopf's important teachings.",200
1404803335,"Compasses and magnetite, magnetic poles and motors - learn about how magnets affect our lives.",200
1446276082,"The classic conception of energy security addresses the relative supply and safety of energy fuels and services. Yet the past three decades have seen both the emergence of new energy security threats, such as climate change, and new conceptions of energy security, such as definitions which focus on social stewardship, affordability, or innovation of energy research and development. The articles collated in this new 6-volume major work chart these significant developments, and place them in a wider context through a comprehensive and illuminating introductory chapter, written by editor Benjamin K. Sovacool and energy security expert Scott V. Valentine. Divided thematically, the volumes cover the following topics: Volume One: Definitions, and Concepts Volume Two: Fuels and Technologies of Energy Security Volume Three: Economic, Political, and Environmental Dimensions of Energy Security Volume Four: Regional Perspectives of Energy Security Read more",200
1491522666,"Three heartwarming tales of old friends and new beginnings that span one year in an Amish community. A Change of Heart by Beth Wiseman Leah is no good at cooking, cleaning, sewing, gardening—the skills that young women need to make a proper Amish wife. All she wants to do is write stories, but she's sincerely tired of being a disappointment. Will she ever find someone who accepts her just as she is? And can an almost-Amish angel in red polka dots help her find her way? A Place of His Own by Kathleen Fuller When Josiah left Paradise the first time, he didn't even say good-bye. Now he's back, ten years later, and he's changed. Why is he so distant and bitter? Where is the boy who used to be Amanda's best friend? Amanda is learning that there are things even a capable Amish girl can't fix. But can she stand there and watch him walk away . . . again? When Winter Comes by Barbara Cameron It's been too long since Rebecca has done what she loves—put on her skates and fly across the ice. Five years have passed since a winter accident took her twin Lizzie and left Rebecca heartbroken. And Ben has waited for her all that time. At last she's starting to heal. But has too much time passed for their hearts to reconnect? Read more",200
0970096410,"This seventh edition of City of Rocks - A Climber's Guide offers the most thorough and up to date information, maps and topo's detailing over 750 high quality climbs. Also included are details on local amenities, camping, geology, biking, hiking and running trails, climbing lore, and other Idaho climbing spots to discover.",200
8436808053,"El insomnio, caracterizado por la dificultad de conciliar o mantener el sueño, así como por la sensación de no haber descansado lo suficiente, es uno de los problemas de salud más frecuentes en la actualidad. El cansancio, la pérdida de numerosas horas de trabajo, las alteraciones en el estado de ánimo, la desazón emocional y el estrés son algunos de los factores negativos que actúan en las personas que lo padecen. Afortunadamente, hoy día podemos asegurar que la inmensa mayoría de los casos de insomnio tienen solución. Tanto la medicina como la psicología, ofrecen gran variedad de métodos para intervenir ante los diferentes problemas de sueño. Mariano Chóliz, psicólogo y profesor de la Universidad de Valencia, muestra una serie de reglas y consejos de inmediata puesta en práctica para acabar con el insomnio de una vez por todas. Son técnicas que atienden aspectos como aprender a respirar mejor, consejos sobre la alimentación más apropiada para el sueño, la utilizacion de los somníferos, la preparación de las plantas medicinales y las condiciones ambientales que inducen al sueño. Escrito con un lenguaje claro y ameno, el libro es útil para cualquiera de las muchas personas que sufren de insomnio. También incluye unos apartados en los que se exponen los fundamentos científicos de cada explicación.",200
1848291388,"J Martin Littlejohn was a person who stood literally and figuratively shoulder to shoulder with the founder of osteopathy, A T Still. A proud presbyterian Scot who made his career and reputation in the USA, only to have it questioned and discredited after returning to pursue his osteopathic practice in London, Littlejohn was a controversial character. Undoubtedly a pioneer in establishing osteopathic medicine both in the USA and in the UK, he was also a fraud, using contentious qualifications to promote his academic and scientific credibility. No one has been able to write a comprehensive study of Littlejohn until now. John O'Brien has spent years researching the man. Using the objective eye of a professional historian, he has visited the institutions of Littlejohn's life and career, in Northern Ireland, Chicago, Illinois and Kirksville, Missouri, and the National Osteopathic Archive in London, as well as holding interviews with Littlejohn's family in the UK. He was granted access to previously unseen historic material as well as personal family mementos and photographs. This book will be read by anyone with an interest in the history of osteopathy. It gives a thorough description of the life and work of J Martin Littlejohn, with a broad analysis of how and why he took the major decisions to affect his career, for good or bad. And of course the consequences of those decisions, which had a major influence on the development of osteopathy in the 20th century. Key points: 30 photographs, some previously unseen Author access to previously unseen archives Contributions from Littlejohn's family",200
0073402656,"For five editions, the Silberberg brand has been recognized in the general chemistry market as an unparalleled classic. The sixth edition has been changed in many ways to keep pace with the evolution of student learning. The text still contains unprecedented macroscopic-to-microscopic molecular illustrations, consistent step-by-step worked exercises in every chapter, and an extensive range of end-of-chapter problems, which provide engaging applications covering a wide variety of interests, including engineering, medicine, materials, and environmental studies. Changes have been made to the text and applications throughout to make them more succinct, to the artwork to make it more teachable and modern, and to the design to make it more simplistic and open.",200
0323045979,"Like getting 7 books in 1, MOSBY'S ONCOLOGY NURSING ADVISOR provides quick access to essential information on a wide range of cancer topics, including types of cancer, treatment options, symptom management, palliative care, and patient teaching. Its user-friendly layout and straightforward coverage make it ideal for use in any clinical setting, offering authoritative guidance to help you provide the best possible oncology nursing care. Detailed descriptions of over 50 major cancer types provide essential information on incidence, etiology and risk factors, signs and symptoms, diagnostic workup, histology, staging, treatment, prognosis, and prevention. Coverage of cancer management principles outlines a wide range of treatment and pharmacologic modalities, including surgery, chemotherapy, radiation therapy, hormonal therapy, biological response modifiers, and complementary and alternative therapies. Symptom management guidelines provide in-depth coverage of pathophysiology, assessment tools, lab and diagnostic tests, differential diagnoses, interventions, follow up care, and resources for over 30 common symptoms associated with cancer and cancer treatments. Essential information on many oncologic emergencies and emergent issues prepares you to respond quickly to structural, metabolic, and hematologic emergencies. Read more",200
1847176968,"Take a photographic journey down Ireland’s Atlantic coast from Donegal in the north to Cork in the south. This beautiful book showcases the west coast in all its wild beauty: dramatic views, abundant nature and wildlife, lighthouses, harbours and quaint seaside villages, as well as heritage, history and people.  The Wild Atlantic Way is a fully-signposted route along the west coast of Ireland that brings the visitor to some of Ireland's most spectacular scenery and liveliest towns: from surfing in Rossknowlagh to birdwatching at the magnificent cliffs of Moher, from the boats in Galway Bay to traditional music in Doolin, from dolphins in Kerry to castles in Cork there’s something for everyone on the wild west coast.  Over 200 wonderful photographs.  Maps showing each section of the Wild Atlantic Way: Donegal-Mayo, Mayo-Clare, Clare-Kerry, Kerry to Cork.  'a sumptuous book in which the magnificent colour photographs speak for themselves' Books Ireland on Ireland's Coast",200
